datazone,sellingp
S01003025,122500
S01003026,85500
S01003027,111500
S01003029,113500
S01003030,96972.5
S01003032,41000
S01003033,35500
S01003034,105000
S01003035,75000
S01003036,40007.5
S01003037,78000
S01003038,108000
S01003039,73000
S01003040,78500
S01003041,82050
S01003042,39475
S01003043,17000
S01003044,66000
S01003045,49995
S01003046,60500
S01003047,46000
S01003048,61000
S01003049,58000
S01003050,135000
S01003051,125000
S01003052,51000
S01003053,124125
S01003054,75000
S01003055,67995
S01003056,39500
S01003057,71626
S01003058,64005.5
S01003059,103000
S01003060,111500
S01003061,128500
S01003062,57000
S01003063,70000
S01003064,55750
S01003065,95500
S01003066,149000
S01003067,125000
S01003068,132000
S01003069,83000
S01003070,72500
S01003071,148250
S01003072,71655
S01003073,72250
S01003074,280000
S01003075,77500
S01003076,45500
S01003077,68997.5
S01003078,103250
S01003079,127500
S01003080,75000
S01003081,138000
S01003082,73250
S01003083,30725
S01003084,45000
S01003085,130600
S01003086,248000
S01003087,78000
S01003088,52000
S01003089,161082
S01003090,85062.5
S01003091,82000
S01003092,95000
S01003093,65000
S01003094,91000
S01003095,362500
S01003096,195000
S01003097,57750
S01003098,76812.5
S01003099,65025
S01003100,80000
S01003101,64625
S01003102,114775
S01003103,214000
S01003104,76500
S01003105,82500
S01003106,121051
S01003107,161500
S01003108,73487.5
S01003109,177643
S01003110,128000
S01003111,48277.5
S01003112,105000
S01003113,90000
S01003114,92000
S01003115,140000
S01003116,82000
S01003117,85100
S01003118,50250
S01003119,77250
S01003120,143050
S01003121,52500
S01003122,70600
S01003123,85050
S01003124,104000
S01003125,90000
S01003126,70000
S01003127,79995
S01003128,80500
S01003129,97893.5
S01003130,80247.5
S01003131,115000
S01003132,57000
S01003133,114000
S01003134,58500
S01003135,69000
S01003136,105000
S01003137,102250
S01003138,70000
S01003139,111000
S01003140,58000
S01003141,118050
S01003142,58000
S01003143,105375
S01003144,73038.5
S01003145,75000
S01003146,91750
S01003147,75050
S01003148,65250
S01003149,79339
S01003150,49000
S01003151,85000
S01003152,95000
S01003153,229220
S01003154,84775.5
S01003155,130000
S01003156,103250
S01003157,100000
S01003159,104250
S01003160,68000
S01003161,85000
S01003162,73055
S01003163,136500
S01003164,132500
S01003165,82975
S01003166,96000
S01003167,84061.5
S01003168,109500
S01003169,115000
S01003170,200000
S01003171,215000
S01003172,75000
S01003173,84000
S01003174,70000
S01003175,76500
S01003176,95000
S01003177,158888
S01003178,42000
S01003179,55250
S01003180,94000
S01003181,65000
S01003182,75000
S01003183,71186.5
S01003184,42050
S01003185,72500
S01003186,169995
S01003187,93338.5
S01003188,64000
S01003189,61525
S01003190,60750
S01003191,62677.5
S01003192,62000
S01003193,120000
S01003194,59125
S01003195,110000
S01003196,149000
S01003197,115000
S01003198,66000
S01003199,92000
S01003200,71686
S01003201,30550
S01003202,57000
S01003203,80000
S01003204,50000
S01003205,64500
S01003206,62500
S01003207,109378.5
S01003208,41150
S01003209,98750
S01003210,197750
S01003211,150000
S01003212,102000
S01003213,59064
S01003214,65000
S01003215,65750
S01003216,68000
S01003217,44000
S01003218,66127.5
S01003219,87300
S01003220,110080
S01003221,48937.5
S01003222,108000
S01003223,50000
S01003224,146012
S01003225,79000
S01003226,50000
S01003227,99000
S01003228,78000
S01003229,170000
S01003230,100000
S01003231,75000
S01003232,69750
S01003233,192500
S01003234,129750
S01003235,87500
S01003236,94500
S01003237,75000
S01003238,70000
S01003239,64550
S01003240,74526
S01003241,114025.5
S01003242,126100
S01003243,71966
S01003244,68575
S01003245,81975
S01003246,80000
S01003247,55500
S01003248,62500
S01003249,52000
S01003250,112750
S01003251,58000
S01003252,123000
S01003253,31000
S01003254,54025
S01003255,68000
S01003256,43000
S01003257,104000
S01003258,123558.5
S01003259,85000
S01003260,151000
S01003261,150000
S01003262,40825
S01003263,34000
S01003264,110000
S01003265,105000
S01003266,76000
S01003267,70000
S01003268,117747.5
S01003269,65125
S01003270,48000
S01003271,70000
S01003272,111000
S01003273,39500
S01003274,53100
S01003275,75750
S01003276,110500
S01003277,55000
S01003278,79547.5
S01003280,88000
S01003281,45000
S01003282,115000
S01003283,115500
S01003284,63000
S01003285,101801.5
S01003286,70000
S01003287,42500
S01003288,129000
S01003289,74995
S01003290,50000
S01003291,63500
S01003292,117500
S01003293,51000
S01003294,69750
S01003295,117497.5
S01003296,33000
S01003297,82000
S01003298,67500
S01003299,40000
S01003300,74500
S01003301,44500
S01003302,68000
S01003303,125100
S01003304,53125
S01003305,66000
S01003306,76016
S01003307,73525
S01003308,70000
S01003309,45000
S01003310,61250
S01003311,111000
S01003312,65000
S01003313,68000
S01003314,30250
S01003315,95550
S01003316,71500
S01003317,55000
S01003318,97000
S01003320,76250
S01003321,86000
S01003322,42000
S01003323,105000
S01003324,59995
S01003325,58000
S01003326,89575
S01003327,67000
S01003328,110000
S01003329,73000
S01003330,106000
S01003331,55875
S01003332,72000
S01003333,60000
S01003334,49995
S01003335,114375
S01003336,61500
S01003337,55000
S01003338,85125
S01003339,65000
S01003340,58500
S01003341,110000
S01003342,76627.5
S01003343,81000
S01003344,68100
S01003345,59000
S01003346,80000
S01003347,36000
S01003348,104995
S01003349,87750
S01003350,64000
S01003351,47500
S01003352,70500
S01003353,51000
S01003354,58000
S01003355,69000
S01003356,75000
S01003357,41750
S01003358,106500
S01003359,120000
S01003360,97562.5
S01003361,51500
S01003362,64000
S01003363,73500
S01003364,61500
S01003365,70070
S01003366,112000
S01003367,40250
S01003368,126000
S01003369,52255
S01003370,80500
S01003371,75000
S01003372,87997.5
S01003373,143000
S01003374,38000
S01003375,99250
S01003376,48000
S01003377,74500
S01003378,48000
S01003379,35000
S01003380,73250
S01003381,66500
S01003382,160000
S01003383,72000
S01003384,72000
S01003385,92000
S01003386,75000
S01003387,47050
S01003388,45000
S01003389,36000
S01003390,69200
S01003391,70200
S01003392,75000
S01003393,72497.5
S01003394,34000
S01003395,87500
S01003396,36100
S01003397,53000
S01003398,45000
S01003399,90000
S01003400,84500
S01003401,38500
S01003402,32500
S01003403,121250
S01003404,63475
S01003405,68125
S01003406,75550
S01003407,78500
S01003408,77000
S01003409,98375
S01003410,128502.5
S01003411,60000
S01003412,45277.5
S01003413,64950
S01003414,67022.5
S01003415,113000
S01003416,95000
S01003417,90000
S01003418,59950
S01003419,33000
S01003420,27027.5
S01003421,80250
S01003422,62995
S01003423,94000
S01003424,52000
S01003425,116389.5
S01003426,65000
S01003427,70000
S01003428,29000
S01003429,156250
S01003430,123000
S01003431,70000
S01003432,155250
S01003433,135025
S01003434,41000
S01003435,85583.5
S01003436,83750
S01003437,185000
S01003438,115000
S01003439,75625
S01003440,45000
S01003441,33000
S01003442,40760
S01003443,55833.5
S01003445,61000
S01003446,113800
S01003447,77750
S01003448,76775
S01003449,111500
S01003450,113130.5
S01003451,125000
S01003452,82250
S01003453,188000
S01003454,129975
S01003455,59750
S01003457,62125
S01003458,79995
S01003459,47500
S01003460,152500
S01003461,100000
S01003462,37250
S01003463,32500
S01003464,146225
S01003465,92000
S01003466,110000
S01003467,71000
S01003468,123975
S01003469,100000
S01003470,109500
S01003471,59250
S01003473,84725
S01003474,152000
S01003475,130058.5
S01003476,53000
S01003477,93325
S01003478,139000
S01003479,119250
S01003480,83500
S01003481,125062.5
S01003482,96250
S01003483,56500
S01003484,186000
S01003485,176875.5
S01003486,60100
S01003487,145000
S01003488,55100
S01003489,59327.5
S01003490,101250
S01003491,35000
S01003492,120500
S01003493,95000
S01003494,127550
S01003495,51000
S01003496,110000
S01003497,176110
S01003498,125000
S01003499,99500
S01003501,129900
S01003502,48500
S01003503,180000
S01003504,182500
S01003506,138000
S01003507,95000
S01003508,125000
S01003509,175000
S01003510,58059.5
S01003511,202500
S01003512,41000
S01003513,173500
S01003514,170000
S01003515,70500
S01003516,82000
S01003517,90022
S01003518,71500
S01003519,82000
S01003520,170000
S01003521,182500
S01003522,173081.5
S01003523,51000
S01003524,155883
S01003525,140000
S01003526,184000
S01003527,141500
S01003528,77500
S01003529,87775
S01003530,150225
S01003531,72300
S01003532,173000
S01003534,58000
S01003535,71000
S01003536,228500
S01003537,117000
S01003538,80000
S01003539,167500
S01003540,59250
S01003541,52000
S01003542,180000
S01003543,59250
S01003544,210000
S01003545,210000
S01003546,57000
S01003547,122750
S01003548,62275
S01003549,43500
S01003550,105000
S01003551,50000
S01003552,165851.5
S01003553,49000
S01003554,144000
S01003555,230000
S01003556,233786.5
S01003557,62500
S01003558,207500
S01003559,245000
S01003560,170000
S01003561,82625
S01003562,69056
S01003563,62750
S01003564,49250
S01003565,54250
S01003566,136500
S01003567,53000
S01003568,178750
S01003569,97000
S01003570,107500
S01003571,65177
S01003572,45750
S01003573,69997.5
S01003574,142750
S01003575,82500
S01003576,156000
S01003577,85000
S01003578,61000
S01003580,53000
S01003581,82500
S01003582,31500
S01003583,70011
S01003584,78456
S01003585,88575
S01003586,108500
S01003587,340000
S01003588,75332.5
S01003589,126750
S01003590,55000
S01003591,181500
S01003592,105000
S01003593,82500
S01003594,190000
S01003595,88100
S01003596,52005
S01003597,256361
S01003598,78250
S01003599,73000
S01003600,55750
S01003601,56500
S01003602,88000
S01003603,114000
S01003604,89042
S01003605,113000
S01003606,80000
S01003607,98100
S01003608,87000
S01003609,163000
S01003610,59750
S01003611,57000
S01003612,130215.5
S01003613,95000
S01003614,115000
S01003615,115000
S01003616,130000
S01003617,39500
S01003618,120000
S01003619,52500
S01003620,89000
S01003621,66000
S01003622,94000
S01003623,185000
S01003624,105000
S01003625,74500
S01003626,90000
S01003627,45000
S01003628,61000
S01003629,65525
S01003630,90000
S01003631,140075
S01003632,113035
S01003633,70000
S01003634,62497.5
S01003635,75000
S01003636,58625
S01003637,122108.5
S01003638,107000
S01003639,80000
S01003640,55000
S01003641,125000
S01003642,93000
S01003643,77500
S01003644,100000
S01003645,113000
S01003646,73037
S01003647,99500
S01003648,92000
S01003649,87087
S01003650,71500
S01003651,95500
S01003652,79995
S01003653,85750
S01003654,105000
S01003655,64000
S01003656,61475
S01003657,52000
S01003658,116009
S01003659,84750
S01003660,135000
S01003661,110000
S01003662,100760.5
S01003663,74995
S01003664,66137.5
S01003665,9000
S01003666,71750
S01003667,119000
S01003668,105000
S01003669,71000
S01003670,44500
S01003671,96252.5
S01003672,63500
S01003673,55000
S01003674,85500
S01003675,106000
S01003676,130505
S01003677,58062.5
S01003678,110000
S01003679,96000
S01003680,62000
S01003681,93796.5
S01003682,121750
S01003683,108000
S01003684,105000
S01003685,95000
S01003686,65000
S01003687,78000
S01003688,69475
S01003689,64000
S01003690,70150
S01003691,70250
S01003692,88000
S01003693,90000
S01003694,127497.5
S01003695,82500
S01003696,87250
S01003697,160000
S01003698,112000
S01003699,82475
S01003700,68775.5
S01003701,63750
S01003702,59500
S01003703,60000
S01003704,58997.5
S01003705,46000
S01003706,50000
S01003707,40000
S01003708,25000
S01003709,73500
S01003710,47125
S01003711,82475
S01003712,75030
S01003713,47000
S01003714,83000
S01003715,99750
S01003716,47000
S01003717,49250
S01003718,100000
